customer_key,customer_id,first_name,last_name,country,marital_status,gender,birthdate,create_date
8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35,11000,Jon,Yang,Australia,Married,Male,1971-10-06,2025-10-06
72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8,11001,Eugene,Huang,Australia,Single,Male,1976-05-10,2025-10-06
d0548e87b05b93767c3501716059e0f0c806aad4c7c2f23dd01ef8d171b568bd,11002,Ruben,Torres,Australia,Married,Male,1971-02-09,2025-10-06
4c5438f4cae3ec6414e29bef607d5f46780e79dc474b29cd1f0a886fdf6c572a,11003,Christy,Zhu,Australia,Single,Female,1973-08-14,2025-10-06
20bf93b68664ce2f87845f148bc369180e05fc67b139866e16cfce52e7351081,11004,Elizabeth,Johnson,Australia,Single,Female,1979-08-05,2025-10-06
87518bd9fc387ea079fd5f5175b13a8ce271a2cdec1548995b7bfc3ed18a354c,11005,Julio,Ruiz,Australia,Single,Male,1976-08-01,2025-10-06
4d151274fd8c433d276b924643836ab34ec3b95caf3719844431418362d32baa,11006,Janet,Alvarez,Australia,Single,Female,1976-12-02,2025-10-06
106816e5e02931e8359d08d2307f635f7dc11c6d0feebf915a8a5486ef3e25b6,11007,Marco,Mehta,Australia,Married,Male,1969-11-06,2025-10-06
43e83ea476f3f16bd4761ddf256e0cc5997636f43f0196ca32a2e008fdad645b,11008,Rob,Verhoff,Australia,Single,Female,1975-07-04,2025-10-06
3005568d8ad5da4c389814985ae9de0733d71981dcf03295e7a8b4100be8e5a2,11009,Shannon,Carlson,Australia,Single,Male,1969-09-29,2025-10-06
4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869,11010,Jacquelyn,Suarez,Australia,Single,Female,1969-08-05,2025-10-06
17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,11011,Curtis,Lu,Australia,Married,Male,1969-05-03,2025-10-06
bf972272dc9eaf9ee87c986bdd7ae2418d96a8954f4f66c92b730893ccfbcd74,11012,Lauren,Walker,United States,Married,Female,1979-01-14,2025-10-06
7f217f6b6dc883a7f69a4a39c0eaf835f69a7f7fcb6b4e669b38c88bc0fab55d,11013,Ian,Jenkins,United States,Married,Male,1979-08-03,2025-10-06
8742be22805397044be7a13c41d23e56f9b336edb789ed9aed77b5c8f737a286,11014,Sydney,Bennett,United States,Single,Female,1973-11-06,2025-10-06
9bbd4ea987e28d968982133f80f3b155ab150d6528925df00295a81ed754874d,11015,Chloe,Young,United States,Single,Female,1984-08-26,2025-10-06
ac1ee3c7af4ac9728322af37df548bd05b4d5912306f7d4f22cf63d5c64aa18a,11016,Wyatt,Hill,United States,Married,Male,1984-10-25,2025-10-07
a59d9335e170f9e552027eac982f0940b12a01970883d287a1c03be60db17972,11017,Shannon,Wang,Australia,Single,Female,1949-12-24,2025-10-07
a8d2de097f81898ab845fe546637a1807c72dda813f3e80c61baa3f94da5cf14,11018,Clarence,Rai,Australia,Single,Male,1955-10-06,2025-10-07
94e6de03149bd37cdd0d937d705a88f13cc77c2128d3d486a980b25561e18a7a,11019,Luke,Lal,Canada,Single,Male,1983-09-04,2025-10-07
ab8f265cc2a5c9927fb31cb63fc51393de53b77053dfaffa9dc01da8ea100f93,11020,Jordan,King,Canada,Single,Male,1984-03-19,2025-10-07
80330073182669dbe05d018ab8216d2ca9e38dc0ce80c7d8d3d96997339b9bde,11021,Destiny,Wilson,United States,Single,Female,1984-03-02,2025-10-07
f1b4926d58140daf2940380fcd4e272535918eb5856e2d62d21e124aaad8f15b,11022,Ethan,Zhang,United States,Married,Male,1984-04-10,2025-10-07
685449ce015fb8c82ad16863b2d5e2f7ee57ff68921aebbe8dc7ad4620a34e31,11023,Seth,Edwards,United States,Married,Male,1984-04-09,2025-10-07
446b4d1b1c91e8cbca21db2cdb54e7ed4dc9f6f05db51b20e7b54a0f0d3ef9de,11024,Russell,Xie,United States,Married,Male,1984-03-16,2025-10-07
07bef5b60a4c141efe50eb3b4eb5c907ab468417959a3ec6353cb4280b72e49e,11025,Alejandro,Beck,Australia,Married,Male,1951-06-22,2025-10-07
4a0700b3c5e7cac1da6ccc0a9b59f245b458a0aaf87eb324eb2e4f5ae34e148c,11026,Harold,Sai,Australia,Single,Male,1951-10-01,2025-10-07
b6e67bebe30f4953ab1b45e74d9ee0efb0440d6bd475fc0538bff3cfeb27c55f,11027,Jessie,Zhao,Australia,Married,Male,1952-06-05,2025-10-07
26ad817f2329107ccaac6c681d2b0941cdc41dfa1ff44bb5d070fe475203c8a7,11028,Jill,Jimenez,Australia,Married,Female,1951-10-09,2025-10-07
7aaf61320647e97733a2b7b1402cfc3f59e86004b2f1cbb6783107aeb3383772,11029,Jimmy,Moreno,Australia,Married,Male,1952-06-19,2025-10-07
9ea0a17ae2cd7b511ece9af56abab20838ef9fed2843ef106c2410fd237bdd50,11030,Bethany,Yuan,Australia,Married,Female,1958-02-18,2025-10-07
5fa545cedfe5c2e9d2b8e71c825351c71e005dcdf470526bf8e06533b91c0010,11031,Theresa,Ramos,Australia,Married,Female,1953-02-18,2025-10-07
b03b677ad12ab36d0890dac985f87633b4d46ac5845cdcc228c9521e89c7d082,11032,Denise,Stone,Australia,Married,Female,1952-12-08,2025-10-07
d0f7b5d5f77e893947159f287601b03f5a6538fdf4c1ab31b71f001c7e6b2d34,11033,Jaime,Nath,Australia,Married,Male,1958-09-19,2025-10-07
322142e016e988712de8c373dd1ede27b243aec64b61cd4aa5aa5137e3754b54,11034,Ebony,Gonzalez,Australia,Married,Female,1952-12-16,2025-10-07
7c153d2efca480e483595f7232e79e951b53d2081cbadada6741ae42330a1b26,11035,Wendy,Dominguez,Australia,Married,Female,1953-08-23,2025-10-07
078c16a1e55e9b1ed90cd19c62903717caefe809f973914b68a3f329a8937dfe,11036,Jennifer,Russell,United States,Married,Female,1984-06-16,2025-10-07
690c4db056e43ca1024e4878a222d0851fd0784206d10f5107ac6553e434066f,11037,Chloe,Garcia,Canada,Single,Female,1983-05-27,2025-10-07
b6d740a5467734e21279db23e29fc0452ded0c65a7ba92692d23235fa59dc0c9,11038,Diana,Hernandez,Australia,Married,Female,1953-09-20,2025-10-07
